[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,10891
Overall Drift (nm/s),1032.15
X-Drift (nm/s),-453.33
Y-Drift (nm/s),927.27
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),293.00
Mean (E4 nm^2/s),680.92
Standard Deviation (E4 nm^2/s),371.37

User Line 1,205
User Line 2,588
Average # centres/frame,191.16
Average # particles/frame,149.63
Equivalent particle concentration (E8 particles/ml),23.38
Selected average # particles/frame,66.70
Selected equivalent particle concentration (E8 particles/ml),10.42

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,20
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,300
Frame rate (fps),30.00
Temperature (°C),23.80
Viscosity (cP),0.914

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
609,2.4752,,
610,2.4722,,
611,2.4691,,
612,2.4659,,
613,2.4627,,
614,2.4594,,
615,2.4561,,
616,2.4527,,
617,2.4492,,
618,2.4457,,
619,2.4421,,
620,2.4385,,
621,2.4348,,
622,2.4311,,
623,2.4273,,
624,2.4234,,
625,2.4195,,
626,2.4156,,
627,2.4116,,
628,2.4076,,
629,2.4035,,
630,2.3994,,
631,2.3952,,
632,2.3910,,
633,2.3868,,
634,2.3826,,
635,2.3783,,
636,2.3740,,
637,2.3697,,
638,2.3653,,
639,2.3610,,
640,2.3566,,
641,2.3522,,
642,2.3478,,
643,2.3433,,
644,2.3389,,
645,2.3344,,
646,2.3300,,
647,2.3255,,
648,2.3211,,
649,2.3166,,
650,2.3122,,
651,2.3077,,
652,2.3033,,
653,2.2988,,
654,2.2944,,
655,2.2900,,
656,2.2856,,
657,2.2812,,
658,2.2768,,
659,2.2725,,
660,2.2682,,
661,2.2639,,
662,2.2596,,
663,2.2553,,
664,2.2511,,
665,2.2469,,
666,2.2427,,
667,2.2385,,
668,2.2344,,
669,2.2303,,
670,2.2262,,
671,2.2222,,
672,2.2182,,
673,2.2142,,
674,2.2103,,
675,2.2064,,
676,2.2025,,
677,2.1987,,
678,2.1949,,
679,2.1912,,
680,2.1875,,
681,2.1838,,
682,2.1802,,
683,2.1766,,
684,2.1731,,
685,2.1695,,
686,2.1661,,
687,2.1626,,
688,2.1593,,
689,2.1559,,
690,2.1526,,
691,2.1493,,
692,2.1461,,
693,2.1429,,
694,2.1397,,
695,2.1366,,
696,2.1335,,
697,2.1304,,
698,2.1274,,
699,2.1244,,
700,2.1215,,
701,2.1186,,
702,2.1157,,
703,2.1128,,
704,2.1100,,
705,2.1072,,
706,2.1045,,
707,2.1017,,
708,2.0990,,
709,2.0964,,
710,2.0937,,
711,2.0911,,
712,2.0885,,
713,2.0859,,
714,2.0833,,
715,2.0808,,
716,2.0783,,
717,2.0758,,
718,2.0733,,
719,2.0708,,
720,2.0684,,
721,2.0659,,
722,2.0635,,
723,2.0611,,
724,2.0587,,
725,2.0563,,
726,2.0539,,
727,2.0515,,
728,2.0492,,
729,2.0468,,
730,2.0444,,
731,2.0421,,
732,2.0397,,
733,2.0374,,
734,2.0350,,
735,2.0327,,
736,2.0304,,
737,2.0280,,
738,2.0257,,
739,2.0233,,
740,2.0210,,
741,2.0186,,
742,2.0163,,
743,2.0139,,
744,2.0115,,
745,2.0091,,
746,2.0067,,
747,2.0043,,
748,2.0019,,
749,1.9995,,
750,1.9971,,
751,1.9947,,
752,1.9922,,
753,1.9898,,
754,1.9873,,
755,1.9848,,
756,1.9823,,
757,1.9798,,
758,1.9773,,
759,1.9748,,
760,1.9722,,
761,1.9697,,
762,1.9671,,
763,1.9645,,
764,1.9619,,
765,1.9593,,
766,1.9567,,
767,1.9540,,
768,1.9514,,
769,1.9487,,
770,1.9460,,
771,1.9433,,
772,1.9406,,
773,1.9378,,
774,1.9351,,
775,1.9323,,
776,1.9295,,
777,1.9268,,
778,1.9239,,
779,1.9211,,
780,1.9183,,
781,1.9154,,
782,1.9126,,
783,1.9097,,
784,1.9068,,
785,1.9039,,
786,1.9010,,
787,1.8981,,
788,1.8951,,
789,1.8922,,
790,1.8892,,
791,1.8863,,
792,1.8833,,
793,1.8803,,
794,1.8773,,
795,1.8743,,
796,1.8713,,
797,1.8682,,
798,1.8652,,
799,1.8622,,
800,1.8591,,
801,1.8561,,
802,1.8530,,
803,1.8499,,
804,1.8469,,
805,1.8438,,
806,1.8407,,
807,1.8376,,
808,1.8345,,
809,1.8314,,
810,1.8283,,
811,1.8252,,
812,1.8222,,
813,1.8191,,
814,1.8160,,
815,1.8129,,
816,1.8098,,
817,1.8067,,
818,1.8036,,
819,1.8005,,
820,1.7974,,
821,1.7943,,
822,1.7913,,
823,1.7882,,
824,1.7851,,
825,1.7820,,
826,1.7790,,
827,1.7759,,
828,1.7729,,
829,1.7699,,
830,1.7668,,
831,1.7638,,
832,1.7608,,
833,1.7578,,
834,1.7548,,
835,1.7518,,
836,1.7488,,
837,1.7459,,
838,1.7429,,
839,1.7400,,
840,1.7370,,
841,1.7341,,
842,1.7312,,
843,1.7283,,
844,1.7254,,
845,1.7225,,
846,1.7197,,
847,1.7168,,
848,1.7140,,
849,1.7112,,
850,1.7084,,
851,1.7056,,
852,1.7028,,
853,1.7000,,
854,1.6973,,
855,1.6945,,
856,1.6918,,
857,1.6891,,
858,1.6864,,
859,1.6837,,
860,1.6810,,
861,1.6784,,
862,1.6757,,
863,1.6731,,
864,1.6705,,
865,1.6679,,
866,1.6653,,
867,1.6627,,
868,1.6601,,
869,1.6576,,
870,1.6550,,
871,1.6525,,
872,1.6500,,
873,1.6475,,
874,1.6450,,
875,1.6425,,
876,1.6400,,
877,1.6375,,
878,1.6350,,
879,1.6326,,
880,1.6302,,
881,1.6277,,
882,1.6253,,
883,1.6229,,
884,1.6204,,
885,1.6180,,
886,1.6156,,
887,1.6132,,
888,1.6108,,
889,1.6084,,
890,1.6060,,
891,1.6037,,
892,1.6013,,
893,1.5989,,
894,1.5965,,
895,1.5941,,
896,1.5918,,
897,1.5894,,
898,1.5870,,
899,1.5846,,
900,1.5822,,
901,1.5798,,
902,1.5774,,
903,1.5750,,
904,1.5726,,
905,1.5702,,
906,1.5678,,
907,1.5654,,
908,1.5630,,
909,1.5605,,
910,1.5581,,
911,1.5556,,
912,1.5531,,
913,1.5507,,
914,1.5482,,
915,1.5457,,
916,1.5432,,
917,1.5407,,
918,1.5381,,
919,1.5356,,
920,1.5330,,
921,1.5305,,
922,1.5279,,
923,1.5253,,
924,1.5226,,
925,1.5200,,
926,1.5174,,
927,1.5147,,
928,1.5120,,
929,1.5093,,
930,1.5066,,
931,1.5038,,
932,1.5011,,
933,1.4983,,
934,1.4955,,
935,1.4927,,
936,1.4899,,
937,1.4870,,
938,1.4841,,
939,1.4813,,
940,1.4783,,
941,1.4754,,
942,1.4725,,
943,1.4695,,
944,1.4665,,
945,1.4635,,
946,1.4604,,
947,1.4574,,
948,1.4543,,
949,1.4512,,
950,1.4481,,
951,1.4449,,
952,1.4418,,
953,1.4386,,
954,1.4354,,
955,1.4322,,
956,1.4289,,
957,1.4257,,
958,1.4224,,
959,1.4191,,
960,1.4158,,
961,1.4124,,
962,1.4090,,
963,1.4057,,
964,1.4023,,
965,1.3989,,
966,1.3954,,
967,1.3920,,
968,1.3885,,
969,1.3850,,
970,1.3815,,
971,1.3780,,
972,1.3744,,
973,1.3709,,
974,1.3673,,
975,1.3637,,
976,1.3601,,
977,1.3565,,
978,1.3529,,
979,1.3493,,
980,1.3456,,
981,1.3420,,
982,1.3383,,
983,1.3346,,
984,1.3309,,
985,1.3272,,
986,1.3235,,
987,1.3198,,
988,1.3160,,
989,1.3123,,
990,1.3086,,
991,1.3048,,
992,1.3010,,
993,1.2973,,
994,1.2935,,
995,1.2897,,
996,1.2860,,
997,1.2822,,
998,1.2784,,
999,1.2746,,
1000,1.2708,,
1001,1.2670,,
1002,1.2633,,
1003,1.2595,,
1004,1.2557,,
1005,1.2519,,
1006,1.2481,,
1007,1.2443,,
1008,1.2405,,
1009,1.2368,,
1010,1.2330,,
1011,1.2292,,
1012,1.2254,,
1013,1.2217,,
1014,1.2179,,
1015,1.2142,,
1016,1.2104,,
1017,1.2067,,
1018,1.2030,,
1019,1.1992,,
1020,1.1955,,
1021,1.1918,,
1022,1.1881,,
1023,1.1844,,
1024,1.1808,,
1025,1.1771,,
1026,1.1734,,
1027,1.1698,,
1028,1.1662,,
1029,1.1626,,
1030,1.1590,,
1031,1.1554,,
1032,1.1518,,
1033,1.1482,,
1034,1.1447,,
1035,1.1411,,
1036,1.1376,,
1037,1.1341,,
1038,1.1306,,
1039,1.1271,,
1040,1.1237,,
1041,1.1202,,
1042,1.1168,,
1043,1.1134,,
1044,1.1100,,
1045,1.1066,,
1046,1.1032,,
1047,1.0999,,
1048,1.0966,,
1049,1.0933,,
1050,1.0900,,
1051,1.0867,,
1052,1.0834,,
1053,1.0802,,
1054,1.0770,,
1055,1.0738,,
1056,1.0706,,
1057,1.0674,,
1058,1.0643,,
1059,1.0612,,
1060,1.0581,,
1061,1.0550,,
1062,1.0519,,
1063,1.0488,,
1064,1.0458,,
1065,1.0428,,
1066,1.0398,,
1067,1.0368,,
1068,1.0339,,
1069,1.0309,,
1070,1.0280,,
1071,1.0251,,
1072,1.0223,,
1073,1.0194,,
1074,1.0166,,
1075,1.0137,,
1076,1.0109,,
1077,1.0081,,
1078,1.0054,,
1079,1.0026,,
1080,0.9999,,
1081,0.9972,,
1082,0.9945,,
1083,0.9918,,
1084,0.9892,,
1085,0.9865,,
1086,0.9839,,
1087,0.9813,,
1088,0.9787,,
1089,0.9762,,
1090,0.9736,,
1091,0.9711,,
1092,0.9686,,
1093,0.9661,,
1094,0.9636,,
1095,0.9612,,
1096,0.9587,,
1097,0.9563,,
1098,0.9539,,
1099,0.9515,,
1100,0.9491,,
1101,0.9467,,
1102,0.9444,,
1103,0.9421,,
1104,0.9398,,
1105,0.9375,,
1106,0.9352,,
1107,0.9329,,
1108,0.9306,,
1109,0.9284,,
1110,0.9262,,
1111,0.9240,,
1112,0.9218,,
1113,0.9196,,
1114,0.9174,,
1115,0.9152,,
1116,0.9131,,
1117,0.9110,,
1118,0.9088,,
1119,0.9067,,
1120,0.9046,,
1121,0.9026,,
1122,0.9005,,
1123,0.8984,,
1124,0.8964,,
1125,0.8943,,
1126,0.8923,,
1127,0.8903,,
1128,0.8883,,
1129,0.8863,,
1130,0.8843,,
1131,0.8824,,
1132,0.8804,,
1133,0.8784,,
1134,0.8765,,
1135,0.8746,,
1136,0.8726,,
1137,0.8707,,
1138,0.8688,,
1139,0.8669,,
1140,0.8650,,
1141,0.8631,,
1142,0.8612,,
1143,0.8594,,
1144,0.8575,,
1145,0.8557,,
1146,0.8538,,
1147,0.8520,,
1148,0.8501,,
1149,0.8483,,
1150,0.8465,,
1151,0.8447,,
1152,0.8428,,
1153,0.8410,,
1154,0.8392,,
1155,0.8374,,
1156,0.8357,,
1157,0.8339,,
1158,0.8321,,
1159,0.8303,,
1160,0.8285,,
1161,0.8268,,
1162,0.8250,,
1163,0.8232,,
1164,0.8215,,
1165,0.8197,,
1166,0.8180,,
1167,0.8162,,
1168,0.8145,,
1169,0.8128,,
1170,0.8110,,
1171,0.8093,,
1172,0.8075,,
1173,0.8058,,
1174,0.8041,,
1175,0.8023,,
1176,0.8006,,
1177,0.7989,,
1178,0.7972,,
1179,0.7954,,
1180,0.7937,,
1181,0.7920,,
1182,0.7903,,
1183,0.7885,,
1184,0.7868,,
1185,0.7851,,
1186,0.7834,,
1187,0.7817,,
1188,0.7799,,
1189,0.7782,,
1190,0.7765,,
1191,0.7748,,
1192,0.7730,,
1193,0.7713,,
1194,0.7696,,
1195,0.7679,,
1196,0.7661,,
1197,0.7644,,
1198,0.7627,,
1199,0.7610,,
1200,0.7592,,
1201,0.7575,,
1202,0.7558,,
1203,0.7540,,
1204,0.7523,,
1205,0.7506,,
1206,0.7488,,
1207,0.7471,,
1208,0.7453,,
1209,0.7436,,
1210,0.7418,,
1211,0.7401,,
1212,0.7383,,
1213,0.7366,,
1214,0.7348,,
