[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,3494
Overall Drift (nm/s),78.97
X-Drift (nm/s),-44.71
Y-Drift (nm/s),65.10
Calibration (nm/pixel),166

Size Data - Volume Weighted,
Mode (nm),499.00
Mean (nm),592.55
Standard Deviation (nm),202.78
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,0
User Line 2,0
Average # centres/frame,97.28
Average # particles/frame,81.40
Equivalent particle concentration (E8 particles/ml),12.87
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,38
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,250
Frame rate (fps),30.00
Temperature (°C),23.60
Viscosity (cP),0.918

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected <~10% error
Additional Errors,None

[Graph Data]
Particle Size (nm),Volume Concentration (E12 nm³ / ml),,
1037,20.3850,,
1038,20.2155,,
1039,20.0461,,
1040,19.8785,,
1041,19.7115,,
1042,19.5454,,
1043,19.3802,,
1044,19.2164,,
1045,19.0537,,
1046,18.8919,,
1047,18.7311,,
1048,18.5713,,
1049,18.4125,,
1050,18.2547,,
1051,18.0980,,
1052,17.9422,,
1053,17.7875,,
1054,17.6338,,
1055,17.4811,,
1056,17.3295,,
1057,17.1789,,
1058,17.0294,,
1059,16.8809,,
1060,16.7330,,
1061,16.5866,,
1062,16.4412,,
1063,16.2969,,
1064,16.1536,,
1065,16.0114,,
1066,15.8702,,
1067,15.7300,,
1068,15.5904,,
1069,15.4523,,
1070,15.3153,,
1071,15.1792,,
1072,15.0442,,
1073,14.9102,,
1074,14.7772,,
1075,14.6452,,
1076,14.5142,,
1077,14.3842,,
1078,14.2552,,
1079,14.1272,,
1080,14.0001,,
1081,13.8740,,
1082,13.7489,,
1083,13.6248,,
1084,13.5016,,
1085,13.3793,,
1086,13.2580,,
1087,13.1371,,
1088,13.0177,,
1089,12.8988,,
1090,12.7812,,
1091,12.6646,,
1092,12.5489,,
1093,12.4340,,
1094,12.3194,,
1095,12.2064,,
1096,12.0942,,
1097,11.9829,,
1098,11.8725,,
1099,11.7629,,
1100,11.6542,,
1101,11.5463,,
1102,11.4392,,
1103,11.3330,,
1104,11.2275,,
1105,11.1229,,
1106,11.0191,,
1107,10.9161,,
1108,10.8139,,
1109,10.7125,,
1110,10.6118,,
1111,10.5120,,
1112,10.4129,,
1113,10.3145,,
1114,10.2165,,
1115,10.1192,,
1116,10.0232,,
1117,9.9279,,
1118,9.8329,,
1119,9.7391,,
1120,9.6459,,
1121,9.5535,,
1122,9.4618,,
1123,9.3708,,
1124,9.2805,,
1125,9.1908,,
1126,9.1019,,
1127,9.0136,,
1128,8.9259,,
1129,8.8390,,
1130,8.7527,,
1131,8.6670,,
1132,8.5820,,
1133,8.4977,,
1134,8.4140,,
1135,8.3309,,
1136,8.2484,,
1137,8.1666,,
1138,8.0854,,
1139,8.0047,,
1140,7.9247,,
1141,7.8453,,
1142,7.7665,,
1143,7.6883,,
1144,7.6106,,
1145,7.5336,,
1146,7.4571,,
1147,7.3812,,
1148,7.3044,,
1149,7.2297,,
1150,7.1544,,
1151,7.0809,,
1152,7.0079,,
1153,6.9355,,
1154,6.8635,,
1155,6.7921,,
1156,6.7213,,
1157,6.6509,,
1158,6.5810,,
1159,6.5117,,
1160,6.4429,,
1161,6.3745,,
1162,6.3067,,
1163,6.2393,,
1164,6.1725,,
1165,6.1061,,
1166,6.0402,,
1167,5.9748,,
1168,5.9098,,
1169,5.8454,,
1170,5.7807,,
1171,5.7172,,
1172,5.6541,,
1173,5.5915,,
1174,5.5293,,
1175,5.4666,,
1176,5.4054,,
1177,5.3447,,
1178,5.2843,,
1179,5.2244,,
1180,5.1649,,
1181,5.1059,,
1182,5.0472,,
1183,4.9890,,
1184,4.9312,,
1185,4.8738,,
1186,4.8168,,
1187,4.7602,,
1188,4.7040,,
1189,4.6482,,
1190,4.5928,,
1191,4.5378,,
1192,4.4832,,
1193,4.4290,,
1194,4.3739,,
1195,4.3200,,
1196,4.2671,,
1197,4.2145,,
1198,4.1623,,
1199,4.1105,,
1200,4.0591,,
1201,4.0080,,
1202,3.9573,,
1203,3.9070,,
1204,3.8570,,
1205,3.8074,,
1206,3.7582,,
1207,3.7093,,
1208,3.6608,,
1209,3.6127,,
1210,3.5643,,
1211,3.5169,,
1212,3.4699,,
1213,3.4232,,
1214,3.3769,,
1215,3.3303,,
1216,3.2847,,
1217,3.2395,,
1218,3.1946,,
1219,3.1501,,
1220,3.1059,,
1221,3.0621,,
1222,3.0186,,
1223,2.9755,,
