[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,""
Pre-treatmeant,""
Comments,"1ml Kaffee/9 ml dest. Wasser"

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,1971
Overall Drift (nm/s),311.31
X-Drift (nm/s),-2.62
Y-Drift (nm/s),-311.29
Calibration (nm/pixel),166

Size Data - Volume Weighted,
Mode (nm),428.00
Mean (nm),438.39
Standard Deviation (nm),212.67
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,0
User Line 2,0
Average # centres/frame,44.99
Average # particles/frame,33.55
Equivalent particle concentration (E8 particles/ml),5.08
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,31
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),6.44
Camera Gain,540
Frame rate (fps),30.00
Temperature (°C),23.30
Viscosity (cP),0.924

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected >~10% error
Additional Errors,None

[Graph Data]
Particle Size (nm),Volume Concentration (E12 nm³ / ml),,
895,1.4055,,
896,1.4063,,
897,1.4071,,
898,1.4080,,
899,1.4090,,
900,1.4101,,
901,1.4113,,
902,1.4126,,
903,1.4139,,
904,1.4154,,
905,1.4169,,
906,1.4186,,
907,1.4203,,
908,1.4219,,
909,1.4239,,
910,1.4259,,
911,1.4280,,
912,1.4302,,
913,1.4325,,
914,1.4349,,
915,1.4373,,
916,1.4399,,
917,1.4425,,
918,1.4453,,
919,1.4481,,
920,1.4510,,
921,1.4539,,
922,1.4570,,
923,1.4601,,
924,1.4634,,
925,1.4666,,
926,1.4700,,
927,1.4734,,
928,1.4769,,
929,1.4805,,
930,1.4841,,
931,1.4878,,
932,1.4916,,
933,1.4953,,
934,1.4992,,
935,1.5031,,
936,1.5070,,
937,1.5110,,
938,1.5150,,
939,1.5190,,
940,1.5231,,
941,1.5272,,
942,1.5313,,
943,1.5354,,
944,1.5395,,
945,1.5436,,
946,1.5477,,
947,1.5518,,
948,1.5559,,
949,1.5599,,
950,1.5639,,
951,1.5679,,
952,1.5719,,
953,1.5758,,
954,1.5797,,
955,1.5835,,
956,1.5872,,
957,1.5909,,
958,1.5945,,
959,1.5980,,
960,1.6014,,
961,1.6048,,
962,1.6080,,
963,1.6111,,
964,1.6142,,
965,1.6170,,
966,1.6198,,
967,1.6224,,
968,1.6249,,
969,1.6273,,
970,1.6295,,
971,1.6315,,
972,1.6334,,
973,1.6351,,
974,1.6367,,
975,1.6380,,
976,1.6388,,
977,1.6398,,
978,1.6406,,
979,1.6413,,
980,1.6417,,
981,1.6419,,
982,1.6418,,
983,1.6416,,
984,1.6411,,
985,1.6405,,
986,1.6395,,
987,1.6384,,
988,1.6370,,
989,1.6353,,
990,1.6334,,
991,1.6313,,
992,1.6289,,
993,1.6263,,
994,1.6234,,
995,1.6202,,
996,1.6168,,
997,1.6131,,
998,1.6092,,
999,1.6050,,
1000,1.6005,,
1001,1.5958,,
1002,1.5908,,
1003,1.5855,,
1004,1.5800,,
1005,1.5742,,
1006,1.5682,,
1007,1.5619,,
1008,1.5553,,
1009,1.5484,,
1010,1.5413,,
1011,1.5340,,
1012,1.5264,,
1013,1.5185,,
1014,1.5104,,
1015,1.5021,,
1016,1.4934,,
1017,1.4846,,
1018,1.4755,,
1019,1.4662,,
1020,1.4567,,
1021,1.4469,,
1022,1.4369,,
1023,1.4267,,
1024,1.4162,,
1025,1.4056,,
1026,1.3947,,
1027,1.3837,,
1028,1.3724,,
1029,1.3610,,
1030,1.3494,,
1031,1.3376,,
1032,1.3256,,
1033,1.3135,,
1034,1.3012,,
1035,1.2887,,
1036,1.2761,,
1037,1.2633,,
1038,1.2504,,
1039,1.2374,,
1040,1.2243,,
1041,1.2110,,
1042,1.1976,,
1043,1.1841,,
1044,1.1705,,
1045,1.1568,,
1046,1.1431,,
1047,1.1292,,
1048,1.1153,,
1049,1.1013,,
1050,1.0872,,
1051,1.0731,,
1052,1.0589,,
1053,1.0447,,
1054,1.0305,,
1055,1.0162,,
1056,1.0019,,
1057,0.9876,,
1058,0.9733,,
1059,0.9590,,
1060,0.9446,,
1061,0.9303,,
1062,0.9160,,
1063,0.9017,,
1064,0.8875,,
1065,0.8733,,
1066,0.8591,,
1067,0.8449,,
1068,0.8308,,
1069,0.8168,,
1070,0.8028,,
1071,0.7889,,
1072,0.7750,,
1073,0.7612,,
1074,0.7475,,
1075,0.7339,,
1076,0.7204,,
1077,0.7069,,
1078,0.6936,,
1079,0.6803,,
1080,0.6672,,
1081,0.6541,,
1082,0.6412,,
1083,0.6284,,
1084,0.6157,,
1085,0.6031,,
1086,0.5907,,
1087,0.5783,,
1088,0.5661,,
1089,0.5541,,
1090,0.5421,,
1091,0.5304,,
1092,0.5187,,
1093,0.5072,,
1094,0.4958,,
1095,0.4846,,
1096,0.4732,,
1097,0.4623,,
1098,0.4515,,
1099,0.4409,,
1100,0.4305,,
1101,0.4202,,
1102,0.4100,,
1103,0.4000,,
1104,0.3902,,
1105,0.3805,,
1106,0.3710,,
1107,0.3616,,
1108,0.3524,,
1109,0.3433,,
1110,0.3344,,
1111,0.3257,,
1112,0.3171,,
1113,0.3086,,
1114,0.3004,,
1115,0.2922,,
1116,0.2843,,
1117,0.2765,,
1118,0.2688,,
1119,0.2613,,
1120,0.2539,,
1121,0.2467,,
1122,0.2397,,
1123,0.2328,,
1124,0.2260,,
1125,0.2194,,
1126,0.2129,,
1127,0.2066,,
1128,0.2004,,
1129,0.1944,,
1130,0.1885,,
1131,0.1827,,
1132,0.1771,,
1133,0.1716,,
1134,0.1663,,
1135,0.1610,,
1136,0.1559,,
1137,0.1510,,
1138,0.1461,,
1139,0.1414,,
1140,0.1368,,
1141,0.1323,,
1142,0.1279,,
1143,0.1237,,
1144,0.1195,,
1145,0.1155,,
1146,0.1116,,
1147,0.1078,,
1148,0.1041,,
1149,0.1005,,
1150,0.0970,,
1151,0.0936,,
1152,0.0903,,
1153,0.0871,,
1154,0.0840,,
1155,0.0810,,
1156,0.0781,,
1157,0.0753,,
1158,0.0725,,
1159,0.0698,,
1160,0.0673,,
1161,0.0648,,
1162,0.0623,,
1163,0.0600,,
1164,0.0577,,
1165,0.0555,,
1166,0.0534,,
1167,0.0513,,
1168,0.0494,,
1169,0.0474,,
1170,0.0456,,
1171,0.0438,,
1172,0.0421,,
1173,0.0404,,
1174,0.0388,,
1175,0.0372,,
1176,0.0357,,
1177,0.0343,,
1178,0.0329,,
1179,0.0315,,
1180,0.0302,,
1181,0.0289,,
1182,0.0277,,
