[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,2700
Processed Frames,2700
Valid Tracks,8731
Overall Drift (nm/s),394.39
X-Drift (nm/s),-315.38
Y-Drift (nm/s),236.81
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),245.00
Mean (E4 nm^2/s),402.27
Standard Deviation (E4 nm^2/s),214.93

User Line 1,354
User Line 2,0
Average # centres/frame,94.00
Average # particles/frame,75.66
Equivalent particle concentration (E8 particles/ml),11.33
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.10
Viscosity (cP),0.907

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
448,1.6153,,
449,1.6084,,
450,1.6015,,
451,1.5946,,
452,1.5876,,
453,1.5806,,
454,1.5736,,
455,1.5665,,
456,1.5593,,
457,1.5522,,
458,1.5450,,
459,1.5377,,
460,1.5304,,
461,1.5230,,
462,1.5156,,
463,1.5081,,
464,1.5006,,
465,1.4930,,
466,1.4854,,
467,1.4777,,
468,1.4699,,
469,1.4621,,
470,1.4543,,
471,1.4464,,
472,1.4385,,
473,1.4305,,
474,1.4225,,
475,1.4144,,
476,1.4063,,
477,1.3982,,
478,1.3900,,
479,1.3819,,
480,1.3737,,
481,1.3655,,
482,1.3572,,
483,1.3490,,
484,1.3407,,
485,1.3325,,
486,1.3243,,
487,1.3160,,
488,1.3078,,
489,1.2996,,
490,1.2914,,
491,1.2833,,
492,1.2751,,
493,1.2670,,
494,1.2590,,
495,1.2510,,
496,1.2430,,
497,1.2351,,
498,1.2273,,
499,1.2195,,
500,1.2118,,
501,1.2041,,
502,1.1965,,
503,1.1890,,
504,1.1816,,
505,1.1742,,
506,1.1669,,
507,1.1598,,
508,1.1527,,
509,1.1457,,
510,1.1388,,
511,1.1320,,
512,1.1253,,
513,1.1187,,
514,1.1121,,
515,1.1057,,
516,1.0994,,
517,1.0932,,
518,1.0871,,
519,1.0812,,
520,1.0753,,
521,1.0695,,
522,1.0639,,
523,1.0583,,
524,1.0528,,
525,1.0475,,
526,1.0423,,
527,1.0371,,
528,1.0321,,
529,1.0272,,
530,1.0223,,
531,1.0176,,
532,1.0130,,
533,1.0085,,
534,1.0040,,
535,0.9997,,
536,0.9955,,
537,0.9913,,
538,0.9872,,
539,0.9832,,
540,0.9793,,
541,0.9755,,
542,0.9718,,
543,0.9681,,
544,0.9646,,
545,0.9610,,
546,0.9576,,
547,0.9542,,
548,0.9509,,
549,0.9477,,
550,0.9445,,
551,0.9414,,
552,0.9383,,
553,0.9353,,
554,0.9324,,
555,0.9294,,
556,0.9266,,
557,0.9238,,
558,0.9210,,
559,0.9183,,
560,0.9156,,
561,0.9129,,
562,0.9103,,
563,0.9077,,
564,0.9051,,
565,0.9026,,
566,0.9001,,
567,0.8976,,
568,0.8951,,
569,0.8926,,
570,0.8902,,
571,0.8878,,
572,0.8853,,
573,0.8829,,
574,0.8805,,
575,0.8781,,
576,0.8757,,
577,0.8733,,
578,0.8710,,
579,0.8686,,
580,0.8662,,
581,0.8638,,
582,0.8614,,
583,0.8590,,
584,0.8565,,
585,0.8541,,
586,0.8517,,
587,0.8492,,
588,0.8467,,
589,0.8442,,
590,0.8417,,
