[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:19"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,2218
Overall Drift (nm/s),423.20
X-Drift (nm/s),-406.66
Y-Drift (nm/s),117.15
Calibration (nm/pixel),166

Size Data - Volume Weighted,
Mode (nm),358.00
Mean (nm),619.78
Standard Deviation (nm),348.13
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,354
User Line 2,0
Average # centres/frame,57.79
Average # particles/frame,37.04
Equivalent particle concentration (E8 particles/ml),5.82
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,24
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.14
Camera Gain,499
Frame rate (fps),30.00
Temperature (°C),25.20
Viscosity (cP),0.885

[Warnings]
Low Completed Tracks,No
High Noise,3 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Error - No data
Additional Errors,None

[Graph Data]
Particle Size (nm),Volume Concentration (E12 nm³ / ml),,
442,4.1563,,
443,4.1202,,
444,4.0856,,
445,4.0524,,
446,4.0205,,
447,3.9899,,
448,3.9605,,
449,3.9304,,
450,3.9035,,
451,3.8776,,
452,3.8526,,
453,3.8284,,
454,3.8050,,
455,3.7823,,
456,3.7604,,
457,3.7389,,
458,3.7179,,
459,3.6974,,
460,3.6772,,
461,3.6574,,
462,3.6377,,
463,3.6183,,
464,3.5990,,
465,3.5797,,
466,3.5604,,
467,3.5411,,
468,3.5217,,
469,3.5021,,
470,3.4823,,
471,3.4622,,
472,3.4419,,
473,3.4213,,
474,3.4002,,
475,3.3788,,
476,3.3570,,
477,3.3346,,
478,3.3119,,
479,3.2887,,
480,3.2650,,
481,3.2408,,
482,3.2160,,
483,3.1907,,
484,3.1648,,
485,3.1384,,
486,3.1114,,
487,3.0840,,
488,3.0560,,
489,3.0275,,
490,2.9978,,
491,2.9685,,
492,2.9386,,
493,2.9082,,
494,2.8774,,
495,2.8462,,
496,2.8146,,
497,2.7828,,
498,2.7505,,
499,2.7179,,
500,2.6850,,
501,2.6519,,
502,2.6185,,
503,2.5850,,
504,2.5514,,
505,2.5176,,
506,2.4838,,
507,2.4501,,
508,2.4163,,
509,2.3826,,
510,2.3490,,
511,2.3154,,
512,2.2821,,
513,2.2490,,
514,2.2161,,
515,2.1835,,
516,2.1512,,
517,2.1193,,
518,2.0877,,
519,2.0566,,
520,2.0259,,
521,1.9957,,
522,1.9660,,
523,1.9371,,
524,1.9085,,
525,1.8824,,
526,1.8553,,
527,1.8289,,
528,1.8031,,
529,1.7780,,
530,1.7537,,
531,1.7301,,
532,1.7073,,
533,1.6855,,
534,1.6643,,
535,1.6440,,
536,1.6244,,
537,1.6057,,
538,1.5877,,
539,1.5707,,
540,1.5544,,
541,1.5392,,
542,1.5248,,
543,1.5113,,
544,1.4986,,
545,1.4869,,
546,1.4759,,
547,1.4659,,
548,1.4567,,
549,1.4483,,
550,1.4408,,
551,1.4341,,
552,1.4283,,
553,1.4233,,
554,1.4191,,
555,1.4157,,
556,1.4130,,
557,1.4111,,
558,1.4100,,
559,1.4097,,
560,1.4100,,
561,1.4111,,
562,1.4129,,
563,1.4154,,
564,1.4185,,
565,1.4224,,
566,1.4268,,
567,1.4319,,
568,1.4376,,
569,1.4439,,
570,1.4509,,
571,1.4584,,
572,1.4665,,
573,1.4752,,
574,1.4845,,
575,1.4943,,
576,1.5047,,
577,1.5154,,
578,1.5268,,
579,1.5388,,
580,1.5513,,
581,1.5643,,
582,1.5778,,
583,1.5919,,
584,1.6064,,
585,1.6215,,
586,1.6372,,
587,1.6533,,
588,1.6699,,
589,1.6872,,
590,1.7050,,
591,1.7233,,
592,1.7422,,
593,1.7617,,
594,1.7818,,
595,1.8025,,
596,1.8239,,
597,1.8458,,
598,1.8685,,
599,1.8917,,
600,1.9157,,
601,1.9405,,
602,1.9659,,
603,1.9921,,
604,2.0191,,
605,2.0468,,
606,2.0753,,
607,2.1048,,
608,2.1350,,
609,2.1662,,
610,2.1982,,
611,2.2311,,
612,2.2651,,
613,2.3000,,
614,2.3363,,
615,2.3732,,
616,2.4112,,
617,2.4503,,
618,2.4904,,
619,2.5317,,
620,2.5741,,
621,2.6176,,
622,2.6622,,
623,2.7081,,
624,2.7552,,
625,2.8034,,
626,2.8529,,
627,2.9036,,
628,2.9555,,
629,3.0087,,
630,3.0629,,
631,3.1187,,
632,3.1757,,
633,3.2339,,
634,3.2935,,
635,3.3543,,
636,3.4163,,
637,3.4796,,
638,3.5440,,
639,3.6098,,
640,3.6767,,
641,3.7448,,
642,3.8141,,
643,3.8851,,
644,3.9567,,
645,4.0294,,
646,4.1032,,
647,4.1780,,
648,4.2538,,
649,4.3306,,
650,4.4082,,
651,4.4868,,
652,4.5662,,
653,4.6463,,
654,4.7272,,
655,4.8087,,
656,4.8909,,
657,4.9736,,
658,5.0568,,
659,5.1405,,
660,5.2245,,
661,5.3088,,
662,5.3932,,
663,5.4779,,
664,5.5627,,
665,5.6475,,
666,5.7322,,
667,5.8167,,
668,5.9011,,
669,5.9850,,
670,6.0686,,
671,6.1522,,
672,6.2348,,
673,6.3167,,
674,6.3978,,
675,6.4782,,
676,6.5576,,
677,6.6360,,
678,6.7133,,
679,6.7895,,
680,6.8643,,
681,6.9378,,
682,7.0099,,
683,7.0804,,
684,7.1494,,
685,7.2166,,
686,7.2821,,
687,7.3457,,
688,7.4073,,
689,7.4670,,
690,7.5246,,
691,7.5800,,
692,7.6332,,
693,7.6841,,
694,7.7326,,
695,7.7787,,
696,7.8223,,
697,7.8634,,
698,7.9019,,
699,7.9377,,
700,7.9709,,
701,8.0013,,
702,8.0289,,
703,8.0537,,
704,8.0757,,
705,8.0948,,
706,8.1110,,
707,8.1243,,
708,8.1346,,
709,8.1420,,
710,8.1465,,
711,8.1479,,
712,8.1464,,
713,8.1420,,
714,8.1345,,
715,8.1241,,
716,8.1109,,
717,8.0947,,
718,8.0756,,
719,8.0537,,
720,8.0290,,
721,8.0015,,
722,7.9712,,
723,7.9382,,
724,7.9026,,
725,7.8643,,
726,7.8235,,
727,7.7802,,
728,7.7344,,
729,7.6863,,
730,7.6359,,
731,7.5832,,
732,7.5284,,
733,7.4715,,
734,7.4125,,
735,7.3516,,
736,7.2889,,
737,7.2244,,
738,7.1582,,
739,7.0904,,
740,7.0211,,
741,6.9503,,
742,6.8783,,
743,6.8049,,
744,6.7305,,
745,6.6550,,
746,6.5785,,
747,6.5012,,
748,6.4231,,
749,6.3443,,
750,6.2649,,
751,6.1850,,
752,6.1046,,
753,6.0240,,
754,5.9432,,
755,5.8623,,
756,5.7814,,
757,5.7005,,
758,5.6198,,
759,5.5393,,
760,5.4591,,
761,5.3793,,
762,5.2999,,
763,5.2212,,
764,5.1430,,
765,5.0655,,
766,4.9889,,
767,4.9130,,
768,4.8381,,
769,4.7642,,
770,4.6913,,
771,4.6194,,
772,4.5488,,
773,4.4793,,
774,4.4112,,
775,4.3443,,
776,4.2788,,
777,4.2146,,
778,4.1519,,
779,4.0907,,
780,4.0310,,
781,3.9729,,
782,3.9163,,
783,3.8613,,
784,3.8079,,
785,3.7562,,
786,3.7061,,
787,3.6576,,
788,3.6109,,
789,3.5658,,
790,3.5225,,
791,3.4809,,
792,3.4410,,
793,3.4028,,
794,3.3663,,
795,3.3315,,
796,3.2984,,
797,3.2669,,
798,3.2372,,
799,3.2090,,
800,3.1825,,
801,3.1577,,
802,3.1344,,
803,3.1127,,
804,3.0925,,
805,3.0738,,
806,3.0567,,
807,3.0410,,
808,3.0268,,
809,3.0140,,
810,3.0025,,
811,2.9924,,
812,2.9836,,
813,2.9761,,
814,2.9698,,
815,2.9647,,
816,2.9607,,
817,2.9579,,
818,2.9562,,
819,2.9555,,
820,2.9558,,
821,2.9571,,
822,2.9593,,
823,2.9624,,
824,2.9663,,
825,2.9710,,
826,2.9765,,
827,2.9826,,
828,2.9895,,
829,2.9970,,
830,3.0051,,
831,3.0137,,
832,3.0228,,
833,3.0324,,
834,3.0424,,
835,3.0529,,
836,3.0636,,
837,3.0747,,
838,3.0860,,
839,3.0976,,
840,3.1094,,
841,3.1213,,
842,3.1333,,
843,3.1455,,
844,3.1576,,
845,3.1699,,
846,3.1820,,
847,3.1942,,
848,3.2062,,
849,3.2182,,
850,3.2300,,
851,3.2416,,
852,3.2531,,
853,3.2643,,
854,3.2753,,
855,3.2860,,
856,3.2963,,
857,3.3064,,
858,3.3178,,
859,3.3272,,
860,3.3363,,
861,3.3449,,
862,3.3532,,
863,3.3609,,
864,3.3682,,
865,3.3750,,
866,3.3813,,
867,3.3871,,
868,3.3924,,
869,3.3971,,
870,3.4012,,
871,3.4048,,
872,3.4076,,
873,3.4100,,
874,3.4119,,
875,3.4131,,
876,3.4137,,
877,3.4137,,
878,3.4131,,
879,3.4118,,
880,3.4099,,
881,3.4073,,
882,3.4041,,
883,3.4003,,
884,3.3958,,
885,3.3907,,
886,3.3849,,
887,3.3785,,
888,3.3714,,
889,3.3637,,
890,3.3553,,
891,3.3463,,
892,3.3367,,
893,3.3264,,
894,3.3155,,
895,3.3040,,
896,3.2919,,
897,3.2791,,
898,3.2658,,
899,3.2519,,
900,3.2374,,
901,3.2223,,
902,3.2066,,
903,3.1904,,
904,3.1735,,
905,3.1562,,
906,3.1366,,
907,3.1184,,
908,3.0997,,
909,3.0806,,
910,3.0609,,
911,3.0408,,
912,3.0202,,
913,2.9991,,
914,2.9776,,
915,2.9557,,
916,2.9335,,
917,2.9108,,
918,2.8877,,
919,2.8643,,
920,2.8403,,
921,2.8163,,
922,2.7919,,
923,2.7672,,
924,2.7423,,
925,2.7171,,
926,2.6916,,
927,2.6659,,
928,2.6400,,
929,2.6139,,
930,2.5876,,
931,2.5612,,
932,2.5346,,
933,2.5079,,
934,2.4811,,
935,2.4541,,
936,2.4271,,
937,2.4000,,
938,2.3729,,
